https,matdom,kwc,preshtml,ipurl,presjs,presform,subdom,dkim,spf,dmarc,mx,numlinks,imgurl,numdoms,res
-1,-1,0.002751694,1,0,1,-1,-1,-1,-1,-1,-1,0.007567159,0.000687924,0.442334812,-1
-1,-1,0.002751694,1,0,1,-1,-1,-1,-1,-1,-1,0.007567159,0.000687924,0.442334812,-1
-1,-1,0.003747059,1,0,1,-1,-1,-1,-1,-1,-1,0.024730586,0.000749412,0.31100586,-1
-1,-1,0.00412991,1,0,1,-1,-1,-1,-1,-1,-1,0.017345624,0.000825982,0.404731225,-1
-1,-1,0.002600053,1,0,1,-1,-1,-1,-1,-1,-1,0.007150147,0.000650013,0.425108715,-1
-1,-1,0.002600053,1,0,1,-1,-1,-1,-1,-1,-1,0.007150147,0.000650013,0.425108715,-1
-1,-1,0.004134281,1,0,1,-1,-1,-1,-1,-1,-1,0.017363982,0.000826856,0.405159583,-1
-1,-1,0.002599107,1,0,1,-1,-1,-1,-1,-1,-1,0.007147545,0.000649777,0.424954028,-1
-1,-1,0.002599107,1,0,1,-1,-1,-1,-1,-1,-1,0.007147545,0.000649777,0.424954028,-1
-1,-1,0.002599107,1,0,1,-1,-1,-1,-1,-1,-1,0.007147545,0.000649777,0.424954028,-1
-1,-1,0.002599073,1,0,1,-1,-1,-1,-1,-1,-1,0.007147452,0.000649768,0.424948506,-1
-1,-1,0.002599073,1,0,1,-1,-1,-1,-1,-1,-1,0.007147452,0.000649768,0.424948506,-1
-1,-1,0.00259958,1,0,1,-1,-1,-1,-1,-1,-1,0.007148845,0.000649895,0.425031357,-1
-1,-1,0.00259958,1,0,1,-1,-1,-1,-1,-1,-1,0.007148845,0.000649895,0.425031357,-1
-1,-1,0.003565266,1,0,1,-1,-1,-1,-1,-1,-1,0.023530754,0.000713053,0.315882546,-1
-1,-1,0.003563843,1,0,1,-1,-1,-1,-1,-1,-1,0.023521362,0.000712769,0.315756461,-1
-1,-1,0.004131071,1,0,1,-1,-1,-1,-1,-1,-1,0.017350497,0.000826214,0.40484492,-1
-1,-1,0.004123167,1,0,1,-1,-1,-1,-1,-1,-1,0.018966569,0.000824633,0.404070391,-1
-1,-1,0.004081166,1,0,1,-1,-1,-1,-1,-1,-1,0.020405831,0.000816233,0.399954291,-1
-1,-1,0.00340509,1,0,1,-1,-1,-1,-1,-1,-1,0.042904133,0.000681018,0.301690968,-1
-1,-1,0.003373535,1,0,1,-1,-1,-1,-1,-1,-1,0.005903686,0.000843384,0.413257991,-1
-1,-1,0.003803091,1,0,1,-1,-1,-1,-1,-1,-1,0.011409273,0.000760618,0.315656566,-1
-1,-1,0.003371715,1,0,1,-1,-1,-1,-1,-1,-1,0.005900501,0.000842929,0.413035049,-1
-1,-1,0.00337001,1,0,1,-1,-1,-1,-1,-1,-1,0.005897518,0.000842503,0.412826259,-1
-1,-1,0.005198248,1,0,1,-1,-1,-1,-1,-1,-1,0.011696058,0.001299562,0.557512118,-1
-1,-1,0.003806044,1,0,1,-1,-1,-1,-1,-1,-1,0.011418132,0.000761209,0.315901652,-1
-1,-1,0.003349915,1,0,1,-1,-1,-1,-1,-1,-1,0.005862352,0.000837479,0.410364638,-1
-1,-1,0.005106144,1,0,1,-1,-1,-1,-1,-1,-1,0.011488824,0.001276536,0.55401662,-1
-1,-1,0.005106144,1,0,1,-1,-1,-1,-1,-1,-1,0.011488824,0.001276536,0.55401662,-1
-1,-1,0.003342023,1,0,1,-1,-1,-1,-1,-1,-1,0.007519551,0.000835506,0.409397768,-1
-1,-1,0.003340125,1,0,1,-1,-1,-1,-1,-1,-1,0.007515281,0.000835031,0.409165303,-1
